femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,tribalRequest,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,lastIAFilingDate,incidentId,region,designatedIncidentTypes,lastRefresh,hash,id
FM-5529-OR,5529,OR,FM,2024-08-09T00:00:00.000Z,2024,Fire,LEE FALLS FIRE,0,0,1,1,2024-08-08T00:00:00.000Z,,,0,41,67,99067,Washington (County),24122,,2024081001,10,R,2024-08-27T18:22:14.800Z,ae87cf3c6ed795015b714af7166c7c295b2b67c7,09e3f81a-5e16-4b72-b317-1c64e0cfa59c
FM-5528-OR,5528,OR,FM,2024-08-06T00:00:00.000Z,2024,Fire,ELK LANE FIRE,0,0,1,1,2024-08-04T00:00:00.000Z,,,0,41,31,99031,Jefferson (County),24116,,2024080701,10,R,2024-08-27T18:22:14.800Z,432cf0995c47e3895cea696ede5621b810460501,59983f89-30bf-4888-b21b-62e8d57d9aac
FM-5527-OR,5527,OR,FM,2024-08-02T00:00:00.000Z,2024,Fire,MILE MARKER 132 FIRE,0,0,1,1,2024-08-02T00:00:00.000Z,,,0,41,17,99017,Deschutes (County),24111,,2024080301,10,R,2024-08-27T18:22:14.800Z,2f21d90cb6bc64b0d4121aa3f18d852bbb4b11fa,8d13ecf0-bc2f-496b-8c9f-b2e73da832a0
DR-4312-CA,4312,CA,DR,2017-05-02T00:00:00.000Z,2017,Severe Storm,FLOODING,0,0,1,1,2017-02-08T00:00:00.000Z,2017-02-11T00:00:00.000Z,2025-03-25T00:00:00.000Z,1,6,0,60347,Resighini Rancheria (Indian Reservation),17035,,2017041001,9,,2025-03-26T20:21:32.579Z,432a3a64bdbb291ae26cf5a27a33deeabb380481,98a7c5bb-2346-45aa-a1ca-0399440d4f0b
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,1,99001,Autauga (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,dcd4ce6b37ee49875b3f1e32e9a8a16cd6a803d3,5229bbae-eee6-42b8-b277-edbafa8d6cb2
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,5,99005,Barbour (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,5b8478f80e09732d1f5195b604b0a3b8ca396a01,2155164c-0c07-4da4-b5d1-d24a831d9bdc
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,9,99009,Blount (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,2aeb06b619f8ac8f58c936d883f04b6ba32539dd,2e772244-38aa-4cce-8f9d-cb3cec41a7af
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,11,99011,Bullock (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,9e61dc26a6112528d4db9aeabb2aabc18b944590,03312824-daf7-4b58-a88a-ae844d72e6d1
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,13,99013,Butler (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,9a77fca608b697db636cda43ba5f47b785e7dff0,e3a71c7d-3351-4ee8-96a6-9f1498237a65
FM-5516-OR,5516,OR,FM,2024-07-22T00:00:00.000Z,2024,Fire,DURKEE FIRE,0,0,1,1,2024-07-21T00:00:00.000Z,,,0,41,1,99001,Baker (County),24093,,2024072301,10,R,2024-08-27T18:22:14.800Z,45ff69fccf92d0d834cbdfa43863f27a117e64a1,f04e205c-f078-44f3-a41c-e99832a27237
FM-5516-OR,5516,OR,FM,2024-07-22T00:00:00.000Z,2024,Fire,DURKEE FIRE,0,0,1,1,2024-07-21T00:00:00.000Z,,,0,41,45,99045,Malheur (County),24093,,2024072301,10,R,2024-08-27T18:22:14.800Z,3fb7fb2fd4a72c15f0e171ad2dc7493c1b794b2d,60983d05-03a4-4b66-90e6-f7889e15fd7d
FM-5514-OR,5514,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,2024-07-21T00:00:00.000Z,,,0,41,23,99023,Grant (County),24092,,2024072202,10,R,2024-08-27T18:22:14.800Z,e7da1792be5f3f783ce34ff85a62c584327c4a0d,45427119-abd1-4c6f-b876-d37d55cf97bf
FM-5514-OR,5514,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,2024-07-21T00:00:00.000Z,,,0,41,49,99049,Morrow (County),24092,,2024072202,10,R,2024-08-27T18:22:14.800Z,98ae6ac4936262d4e0be961104cb3361be870434,f3839077-b1f5-4eba-852e-d1db1da541ac
FM-5514-OR,5514,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BATTLE MOUNTAIN FIRE COMPLEX,0,0,1,1,2024-07-21T00:00:00.000Z,,,0,41,59,99059,Umatilla (County),24092,,2024072202,10,R,2024-08-27T18:22:14.800Z,ecf955791b9c038ec43ffb8fbdcfbebbf98d6bdf,d0deaa82-4668-4346-9a9f-33db099c2fc5
FM-5513-OR,5513,OR,FM,2024-07-21T00:00:00.000Z,2024,Fire,BONEYARD FIRE,0,0,1,1,2024-07-20T00:00:00.000Z,,,0,41,23,99023,Grant (County),24091,,2024072101,10,R,2024-08-27T18:22:14.800Z,d6dc2b751eb9450eb1c42308047db100f19d9e1b,ee206396-9fe8-4f37-b973-b0514410fdee
FM-5512-OR,5512,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,FALLS FIRE,0,0,1,1,2024-07-18T00:00:00.000Z,,,0,41,23,99023,Grant (County),24090,,2024071901,10,R,2024-08-27T18:22:14.800Z,52f8fadf76e67cd79efd181e2acc778c42073d04,1ae19176-efcc-4b70-a1f6-d7780e07d03b
FM-5512-OR,5512,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,FALLS FIRE,0,0,1,1,2024-07-18T00:00:00.000Z,,,0,41,25,99025,Harney (County),24090,,2024071901,10,R,2024-08-27T18:22:14.800Z,bba05ae451c567b32a7034ef1daa5aa8aef99a6e,e1ace295-e303-42e5-b918-d03810a466a3
FM-5511-OR,5511,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,LONE ROCK FIRE,0,0,1,1,2024-07-17T00:00:00.000Z,,,0,41,21,99021,Gilliam (County),24089,,2024071801,10,R,2024-08-27T18:22:14.800Z,bb62761b664195246787c7b0e871290944fc4f46,c80ffc22-fa37-4d9b-a2f7-7d04d4944eae
FM-5511-OR,5511,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,LONE ROCK FIRE,0,0,1,1,2024-07-17T00:00:00.000Z,,,0,41,49,99049,Morrow (County),24089,,2024071801,10,R,2024-08-27T18:22:14.800Z,1de76041457208b989b13e017b37cb756d395607,fffce5f4-378e-4aff-af18-55ab28c7323d
FM-5511-OR,5511,OR,FM,2024-07-18T00:00:00.000Z,2024,Fire,LONE ROCK FIRE,0,0,1,1,2024-07-17T00:00:00.000Z,,,0,41,69,99069,Wheeler (County),24089,,2024071801,10,R,2024-08-27T18:22:14.800Z,89b318cc543591f6bfceace9211cf8c13a2a19c9,d4d538ce-7180-4c08-b283-58627bdbf97b
FM-5507-MT,5507,MT,FM,2024-07-12T00:00:00.000Z,2024,Fire,HORSE GULCH FIRE,0,0,1,1,2024-07-09T00:00:00.000Z,,,0,30,7,99007,Broadwater (County),24085,,2024071301,8,R,2024-08-27T18:22:14.800Z,2fd4f28f03860f50a4036d09dd01fe5114e60c0f,64b35075-676d-4cda-909f-898535f8ca56
FM-5507-MT,5507,MT,FM,2024-07-12T00:00:00.000Z,2024,Fire,HORSE GULCH FIRE,0,0,1,1,2024-07-09T00:00:00.000Z,,,0,30,49,99049,Lewis and Clark (County),24085,,2024071301,8,R,2024-08-27T18:22:14.800Z,2dae8cf46e42c196025651c916e6118eefbc693e,19e28113-9160-46db-8414-bf44fd27de25
FM-5506-OR,5506,OR,FM,2024-07-11T00:00:00.000Z,2024,Fire,LARCH CREEK FIRE,0,0,1,1,2024-07-10T00:00:00.000Z,,,0,41,65,99065,Wasco (County),24083,,2024071101,10,R,2024-08-27T18:22:14.800Z,937e9c04fc346c45b03811e32433d3a9933b6287,a513fae9-a305-437f-99dc-b2afd02af97e
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,17,99017,Chambers (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,dc58d62d24466e5add6d695b937f3d2f83624554,e49aeebd-566f-425c-9913-f89641f2dbbd
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,19,99019,Cherokee (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,7479abebe67829c6d5019fa71108df13b262d5a6,43226fde-49bc-4794-ba08-a2c17c1b88a5
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,27,99027,Clay (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,0577791c9f6461e3335628ff580843ed6e49df5e,2042f61a-32d7-4e37-bb3f-139be89572c7
FM-5500-OR,5500,OR,FM,2024-06-25T00:00:00.000Z,2024,Fire,DARLENE 3 FIRE,0,0,1,1,2024-06-25T00:00:00.000Z,,,0,41,17,99017,Deschutes (County),24072,,2024062601,10,R,2024-08-27T18:22:14.800Z,8dedaaa27736385ee56c72d076daea4df4ac1488,849b4f44-f806-4c28-84ad-61e6662e11b6
DR-4251-AL,4251,AL,DR,2016-01-21T00:00:00.000Z,2016,Severe Storm,"SEVERE STORMS, TORNADOES, STRAIGHT-LINE WINDS, AND FLOODING",0,0,1,1,2015-12-23T00:00:00.000Z,2015-12-31T00:00:00.000Z,2025-03-27T00:00:00.000Z,0,1,29,99029,Cleburne (County),16003,,2015122301,4,,2025-03-27T12:21:46.559Z,9d3e78808323ac4fc56e1ce307d321487fc52d39,54ac5b42-2feb-4974-9d3d-7a879727a70d
FM-5492-NM,5492,NM,FM,2024-05-26T00:00:00.000Z,2024,Fire,BLUE 2 FIRE ,0,0,1,1,2024-05-16T00:00:00.000Z,,,0,35,27,99027,Lincoln (County),24048,,2024052901,6,R,2024-08-27T18:22:14.800Z,58fd5ab07713fcf47fec83a86b3e98c9e3f2a090,30c63136-f83c-4093-a964-6a460441b216
FM-5491-OK,5491,OK,FM,2024-04-06T00:00:00.000Z,2024,Fire,57 FIRE,0,0,1,1,2024-04-06T00:00:00.000Z,2024-04-12T00:00:00.000Z,,0,40,153,99153,Woodward (County),24031,,2024040801,6,R,2024-08-27T18:22:14.800Z,90336b4b9cf62b2bcdbf0ced7653d45abc151887,37e47b66-3cab-4d0a-a92c-4d46e046f622
FM-5489-OK,5489,OK,FM,2024-02-27T00:00:00.000Z,2024,Fire,CATESBY FIRE,0,0,1,1,2024-02-27T00:00:00.000Z,2024-03-20T00:00:00.000Z,,0,40,45,99045,Ellis (County),24012,,2024022803,6,R,2024-08-27T18:22:14.800Z,92dd8af53f1fc5089b8439022b7048920787230d,e1740649-f983-488f-af51-c7c05df2e2b8
FM-5488-TX,5488,TX,FM,2024-02-27T00:00:00.000Z,2024,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2024-02-27T00:00:00.000Z,2024-03-16T00:00:00.000Z,,0,48,211,99211,Hemphill (County),24013,,2024022802,6,R,2024-08-27T18:22:14.800Z,4deef9242b3c808affce125ccf9931a56406deae,ce5eaed9-4e6d-4d18-a458-f277ff154690
FM-5488-TX,5488,TX,FM,2024-02-27T00:00:00.000Z,2024,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2024-02-27T00:00:00.000Z,2024-03-16T00:00:00.000Z,,0,48,233,99233,Hutchinson (County),24013,,2024022802,6,R,2024-08-27T18:22:14.800Z,8034b1ec6ab11a9a01a9787f77a55076b61f95d0,0d7847bd-b309-40de-8f53-d51300f2992b
FM-5488-TX,5488,TX,FM,2024-02-27T00:00:00.000Z,2024,Fire,SMOKEHOUSE CREEK FIRE,0,0,1,1,2024-02-27T00:00:00.000Z,2024-03-16T00:00:00.000Z,,0,48,393,99393,Roberts (County),24013,,2024022802,6,R,2024-08-27T18:22:14.800Z,9c251f86f0a25b1737afc48266640a3e129897b4,cd4fee95-06f9-4e79-90a2-188cb7b2c5d0
FM-5487-TX,5487,TX,FM,2024-02-27T00:00:00.000Z,2024,Fire,WINDY DEUCE FIRE,0,0,1,1,2024-02-27T00:00:00.000Z,2024-03-16T00:00:00.000Z,,0,48,341,99341,Moore (County),24014,,2024022801,6,R,2024-08-27T18:22:14.800Z,7a68d80af40a98ac1630052c76062b1baea351df,69592e52-a26b-4079-935f-7d300a46a0b4
FM-5486-LA,5486,LA,FM,2023-08-30T00:00:00.000Z,2023,Fire,HIGHWAY 113 FIRE,0,0,1,1,2023-08-30T00:00:00.000Z,2023-10-24T00:00:00.000Z,,0,22,79,99079,Rapides (Parish),23114,,2023083101,6,R,2024-08-27T18:22:14.800Z,39fe30b9bf9a8b8f97d05d28743c37bc2d97a2b9,b6c027f5-2bbe-415b-bd07-dee97c5aad98
FM-5486-LA,5486,LA,FM,2023-08-30T00:00:00.000Z,2023,Fire,HIGHWAY 113 FIRE,0,0,1,1,2023-08-30T00:00:00.000Z,2023-10-24T00:00:00.000Z,,0,22,115,99115,Vernon (Parish),23114,,2023083101,6,R,2024-08-27T18:22:14.800Z,452e234aa774bd5b2fa3ac1226a28b9682a73d3d,8b721fe7-342a-435c-b4dd-f431330c0039
FM-5485-LA,5485,LA,FM,2023-08-27T00:00:00.000Z,2023,Fire,LIONS CAMP ROAD FIRE ,0,0,1,1,2023-08-26T00:00:00.000Z,2023-10-04T00:00:00.000Z,,0,22,115,99115,Vernon (Parish),23110,,2023082803,6,R,2024-08-27T18:22:14.800Z,66deff94eb7d3e7854231a171ea7ebdab311ef00,fb9c7e16-b9ee-47fc-9c32-a40616ffc16e
FM-5484-LA,5484,LA,FM,2023-08-25T00:00:00.000Z,2023,Fire,IDA FIRE,0,0,1,1,2023-08-25T00:00:00.000Z,2023-10-12T00:00:00.000Z,,0,22,115,99115,Vernon (Parish),23109,,2023082802,6,R,2024-08-27T18:22:14.800Z,1b3237de3990e98f07e319971a1fff5aadac1c3b,d70c10ec-e9f6-4c4b-abec-fed55e6e7b26
FM-5482-LA,5482,LA,FM,2023-08-23T00:00:00.000Z,2023,Fire,TIGER ISLAND FIRE ,0,0,1,1,2023-08-23T00:00:00.000Z,2023-10-25T00:00:00.000Z,,0,22,11,99011,Beauregard (Parish),23106,,2023082402,6,R,2024-08-27T18:22:14.800Z,184178c65ab67709bea3d982a802cec74e9cfdad,78168d15-d5c1-4c81-a2fb-da8fbcc3b4ad
FM-5481-WA,5481,WA,FM,2023-08-19T00:00:00.000Z,2023,Fire,OREGON FIRE,0,0,1,1,2023-08-19T00:00:00.000Z,,,0,53,63,99063,Spokane (County),23103,,2023081903,10,R,2024-08-27T18:22:14.800Z,a4dcabf48cbe16eda0031688b928dab9e1d9dd0e,8f9cd7bd-8490-490f-b57c-6081b4ffff0b
FM-5480-MT,5480,MT,FM,2023-08-19T00:00:00.000Z,2023,Fire,RIVER ROAD EAST FIRE,0,0,1,1,2023-08-18T00:00:00.000Z,2023-09-05T00:00:00.000Z,,0,30,89,99089,Sanders (County),23100,,2023081902,8,R,2024-08-27T18:22:14.800Z,ebb8c8ea3e38bd19ebb960841d29d9a40dab188c,d969bd7a-d766-40ad-9429-4675b785bcd6
FM-5479-WA,5479,WA,FM,2023-08-18T00:00:00.000Z,2023,Fire,GRAY FIRE,0,0,1,1,2023-08-18T00:00:00.000Z,,,0,53,63,99063,Spokane (County),23102,,2023081901,10,R,2024-08-27T18:22:14.800Z,38f88cd52483be74c5ace8f57cb8f88ded375620,66f8e150-aefb-4921-a078-d5cc3529442f
FM-5478-HI,5478,HI,FM,2023-08-09T00:00:00.000Z,2023,Fire,MAUNA KEA BEACH FIRE,0,0,1,1,2023-08-08T00:00:00.000Z,,2023-12-27T00:00:00.000Z,0,15,1,99001,Hawaii (County),23091,,2023081001,9,R,2024-08-27T18:22:14.800Z,856400ea653bf77ed950ed9ff718718fab2b690f,6cae2140-9809-4314-a70b-9caf7e8e3e65
FM-5477-HI,5477,HI,FM,2023-08-09T00:00:00.000Z,2023,Fire,PULEHU FIRE,0,0,1,1,2023-08-09T00:00:00.000Z,,2023-12-27T00:00:00.000Z,0,15,9,99009,Maui (County),23090,,2023080904,9,R,2024-08-27T18:22:14.800Z,95062dffead375455b26868d4eadc1590d9014a9,ec182ff5-1a1e-4028-982a-8d7bcd8d4dbd
FM-5476-HI,5476,HI,FM,2023-08-09T00:00:00.000Z,2023,Fire,UPCOUNTRY FIRE,0,0,1,1,2023-08-09T00:00:00.000Z,,2023-12-27T00:00:00.000Z,0,15,9,99009,Maui (County),23089,,2023080903,9,R,2024-08-27T18:22:14.800Z,4f727f53c488dd66abbeda82a62138852c33ffe9,edef568f-e365-4c48-8ebf-324d1f842c24
FM-5475-HI,5475,HI,FM,2023-08-09T00:00:00.000Z,2023,Fire,LAHAINA FIRE,0,0,1,1,2023-08-09T00:00:00.000Z,,2023-12-27T00:00:00.000Z,0,15,9,99009,Maui (County),23087,,2023080902,9,R,2024-08-27T18:22:14.800Z,32c71b51a176113e73acbc0aac930299da28f2ca,45ebeb8b-58d8-4ef2-82eb-460b8b1d0509
FM-5474-HI,5474,HI,FM,2023-08-08T00:00:00.000Z,2023,Fire,KOHALA RANCH FIRE,0,0,1,1,2023-08-08T00:00:00.000Z,,,0,15,1,99001,Hawaii (County),23088,,2023080901,9,R,2024-08-27T18:22:14.800Z,babaccd433ce512c1d6808105c00defccde1f36f,0ae6fd1a-5874-4650-99a4-c0b515e0ca68
FM-5472-WA,5472,WA,FM,2023-07-30T00:00:00.000Z,2023,Fire,EAGLE BLUFF FIRE,0,0,1,1,2023-07-29T00:00:00.000Z,,,0,53,47,99047,Okanogan (County),23080,,2023073001,10,R,2024-08-27T18:22:14.800Z,4b8147495c2a118797d18b69ef4f2f2b07d1eadb,b4218334-de0b-416d-80c1-cb756efd7f18
FM-5470-WA,5470,WA,FM,2023-07-23T00:00:00.000Z,2023,Fire,NEWELL ROAD FIRE,0,0,1,1,2023-07-21T00:00:00.000Z,,,0,53,39,99039,Klickitat (County),23074,,2023072301,10,R,2024-08-27T18:22:14.800Z,29c8700c5d87ae3209b91b3ce92c7487273d6c0a,8f875c85-4163-4fdb-8653-b9214676af41
FM-5469-WA,5469,WA,FM,2023-07-11T00:00:00.000Z,2023,Fire,BAIRD SPRINGS FIRE ,0,0,1,1,2023-07-10T00:00:00.000Z,,,0,53,25,99025,Grant (County),23071,,2023071101,10,R,2024-08-27T18:22:14.800Z,87c023fadb47757f65a024f9cbbb81da8f94fd0e,05824101-6a30-42ff-96e5-1fc526312b8d
FM-5468-WA,5468,WA,FM,2023-07-05T00:00:00.000Z,2023,Fire,MCEWAN FIRE ,0,0,1,1,2023-07-04T00:00:00.000Z,,,0,53,45,99045,Mason (County),23065,,2023070501,10,R,2024-08-27T18:22:14.800Z,dabc055801e32a409fc4b09416e0300197e6be98,83368755-fffb-4dd9-9f7f-1131d91df50e
FM-5467-WA,5467,WA,FM,2023-07-03T00:00:00.000Z,2023,Fire,TUNNEL FIVE FIRE,0,0,1,1,2023-07-02T00:00:00.000Z,,,0,53,59,99059,Skamania (County),23064,,2023070301,10,R,2024-08-27T18:22:14.800Z,5359f2c2bc2af43919688d146962f1b711c6feb0,5545e21f-a20a-4ba2-bf64-b4df31be40ba
FM-5466-AZ,5466,AZ,FM,2023-06-28T00:00:00.000Z,2023,Fire,DIAMOND FIRE,0,0,1,1,2023-06-27T00:00:00.000Z,2023-06-30T00:00:00.000Z,,0,4,13,99013,Maricopa (County),23061,,2023062801,9,R,2024-08-27T18:22:14.800Z,569c45af2a5860e916e6ffccd8d35193b2b2baf0,b5328c20-d1f9-43f5-bab0-143549a4bc28
FM-5465-NM,5465,NM,FM,2023-05-10T00:00:00.000Z,2023,Fire,LAS TUSAS FIRE,0,0,1,1,2023-05-10T00:00:00.000Z,2023-05-22T00:00:00.000Z,,0,35,33,99033,Mora (County),23050,,2023051101,6,R,2024-08-27T18:22:14.800Z,e9a4127a410c3b351c87850fdfd3206836f57769,438bcce7-2aae-4972-b345-0502f879f1a2
FM-5465-NM,5465,NM,FM,2023-05-10T00:00:00.000Z,2023,Fire,LAS TUSAS FIRE,0,0,1,1,2023-05-10T00:00:00.000Z,2023-05-22T00:00:00.000Z,,0,35,47,99047,San Miguel (County),23050,,2023051101,6,R,2024-08-27T18:22:14.800Z,14f3c308594a2221235e7d752eda18f08621904b,915949c5-f82e-4c08-a134-3593f4fa054d
FM-5464-RI,5464,RI,FM,2023-04-14T00:00:00.000Z,2023,Fire,QUEENS RIVER FIRE,0,0,1,1,2023-04-14T00:00:00.000Z,2023-04-16T00:00:00.000Z,,0,44,9,99009,"Washington (County)(in (P)MSA 5520,6480)",23042,,2023041701,1,R,2024-08-27T18:22:14.800Z,2a848a549c242f2af58ae1e97ee6c557e6daa584,52cd2a2d-1d6f-48d1-aa2a-318ec1ad430d
FM-5463-KS,5463,KS,FM,2023-04-13T00:00:00.000Z,2023,Fire,HADDAM FIRE,0,0,1,1,2023-04-13T00:00:00.000Z,2023-04-16T00:00:00.000Z,,0,20,201,99201,Washington (County),23038,,2023041301,7,R,2024-08-27T18:22:14.800Z,82d37a6e7385393432201b9aa3e5b55f5fbab7aa,008cd109-cd19-4a8a-9584-9d290fd4a2e0
FM-5462-NE,5462,NE,FM,2023-04-09T00:00:00.000Z,2023,Fire,WACONDA-BEAVER LAKE FIRE COMPLEX,0,0,1,1,2023-04-08T00:00:00.000Z,2023-04-11T00:00:00.000Z,,0,31,25,99025,Cass (County),23036,,2023041001,7,R,2024-08-27T18:22:14.800Z,c33619b95a7ea9e0aa453e8a9316491ef8706396,b27ac4ee-9573-48ac-86f1-fbc7599a3765
FM-5461-NM,5461,NM,FM,2023-04-02T00:00:00.000Z,2023,Fire,"ECHO RIDGE FIRE, NM FMAG",0,0,1,1,2023-04-02T00:00:00.000Z,2023-04-07T00:00:00.000Z,,0,35,57,99057,Torrance (County),23034,,2023040304,6,R,2024-08-27T18:22:14.800Z,303b6b0ff93a50745509e5130808cac5b8093f04,1187150d-158e-4ddf-9ea4-2882898b2e82
FM-5460-OK,5460,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"GAP ROAD FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31T00:00:00.000Z,2023-04-06T00:00:00.000Z,,0,40,147,99147,Washington (County),23032,,2023040302,6,"R,Z",2024-08-27T18:22:14.800Z,497584f97e0e7dde1d8c527d5eacf8ee695387d9,1360b560-055e-4fb4-8c19-eabb6c157b00
FM-5459-OK,5459,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"HEFNER FIRE, OKLAHOMA FMAG",0,0,1,1,2023-03-31T00:00:00.000Z,2023-04-03T00:00:00.000Z,,0,40,109,99109,Oklahoma (County),23033,,2023040303,6,R,2024-08-27T18:22:14.800Z,d3257c8b616730fd590d47e7e3e4368e56e19d00,3c9c1631-c195-4796-911e-bff906574df5
FM-5458-OK,5458,OK,FM,2023-03-31T00:00:00.000Z,2023,Fire,"SIMPSON FIRE, OKLAHOMA FMAG ",0,0,1,1,2023-03-31T00:00:00.000Z,2023-04-06T00:00:00.000Z,,0,40,83,99083,Logan (County),23031,,2023040301,6,"R,Z",2024-08-27T18:22:14.800Z,261a3098d437b032fc9fa87e5a94175abd8e669c,7b5c3967-4bbf-4d22-a201-db6b4f77a19a
FM-5457-OR,5457,OR,FM,2023-01-27T00:00:00.000Z,2023,Fire,CEDAR CREEK FIRE,0,0,1,1,2022-09-09T00:00:00.000Z,2022-09-16T00:00:00.000Z,,0,41,39,99039,Lane (County),23009,,2023012701,10,R,2024-08-27T18:22:14.800Z,db81531ad3755f06b80808c968e9a97c06ca9d49,943216bf-6e13-4c46-bcb1-409b58e3ad68
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,2022-10-16T00:00:00.000Z,2022-10-22T00:00:00.000Z,,0,53,11,99011,Clark (County),22097,,2022101701,10,,2024-08-27T18:22:14.800Z,f7a2b55bd71a46adff580dcd5808d2c46cde5e37,d7d1979f-dd00-4491-b296-c516989957d1
FM-5456-WA,5456,WA,FM,2022-10-17T00:00:00.000Z,2023,Fire,NAKIA CREEK FIRE,0,0,1,1,2022-10-16T00:00:00.000Z,2022-10-22T00:00:00.000Z,,0,53,59,99059,Skamania (County),22097,,2022101701,10,,2024-08-27T18:22:14.800Z,a75bc8ac9c95e0d9b552ff2bfc1d7ba3d8d3a113,4b793309-fd2f-410d-a0dc-e02e261489e1
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,2022-10-24T00:00:00.000Z,,0,53,33,99033,King (County),22083,,2022091102,10,,2024-08-27T18:22:14.800Z,06f5319684589388b0cff65409a36745870744bb,3de7f153-7d4d-410a-8cfa-8ed3b72ddfbd
FM-5455-WA,5455,WA,FM,2022-09-10T00:00:00.000Z,2022,Fire,BOLT CREEK FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,2022-10-24T00:00:00.000Z,,0,53,61,99061,Snohomish (County),22083,,2022091102,10,,2024-08-27T18:22:14.800Z,1c0ae8af0c7cd40f21d3d2cc21d86fbd1ec83f7e,e40e9429-e7d7-4379-b938-b434c2a2dd0d
FM-5454-OR,5454,OR,FM,2022-09-10T00:00:00.000Z,2022,Fire,MILO MCIVER FIRE,0,0,1,1,2022-09-10T00:00:00.000Z,2022-09-12T00:00:00.000Z,,0,41,5,99005,Clackamas (County),22082,,2022091101,10,,2024-08-27T18:22:14.800Z,cba9d0ea15224c828025907694d74ff21b280a93,6be62111-3488-4f17-aad4-8f8e7ab32157
